nct_id,id,name
NCT04635605,12000023,switzerland
NCT04627675,12000068,united states
NCT04623021,12000085,russian federation
NCT04604704,12000209,united states
NCT04598334,12000227,bangladesh
NCT04588792,12000257,canada
NCT04565249,12000363,united states
NCT04548934,12000441,italy
NCT04528667,12000598,brazil
NCT04528368,12000600,brazil
NCT04519411,12000652,united states
NCT04498442,12000734,united states
NCT04488575,12000767,united states
NCT04486001,12000776,united states
NCT04474457,12000832,turkey
NCT04469114,12000856,brazil
NCT04459286,12000929,nigeria
NCT04452669,12000944,united states
NCT04435379,12001007,germany
NCT04434118,12001011,egypt
NCT04431284,12001019,france
NCT04430049,12001027,france
NCT04411433,12001104,turkey
NCT04407143,12001128,spain
NCT04403932,12001141,spain
NCT04391179,12001192,united states
NCT04388826,12001199,united states
NCT04388683,12001200,united states
NCT04388527,12001201,united states
NCT04376658,12001222,brazil
NCT04373291,12001227,denmark
NCT04372589,12001229,brazil
NCT04372589,12001230,canada
NCT04372589,12001231,mexico
NCT04372589,12001232,united states
NCT04367883,12001248,spain
NCT04365153,12001254,united states
NCT04364737,12001255,united states
NCT04363346,12001256,united states
NCT04362995,12001257,united states
NCT04358406,12001264,romania
NCT04358406,12001265,spain
NCT04351724,12001293,austria
NCT04346199,12001300,argentina
NCT04346199,12001301,brazil
NCT04346199,12001302,chile
NCT04346199,12001303,france
NCT04346199,12001304,germany
NCT04346199,12001305,india
NCT04346199,12001306,italy
NCT04346199,12001307,japan
NCT04346199,12001308,mexico
NCT04346199,12001309,peru
NCT04346199,12001310,russian federation
NCT04346199,12001311,south africa
NCT04346199,12001312,turkey
NCT04346199,12001313,spain
NCT04345614,12001314,puerto rico
NCT04345614,12001315,united states
NCT04345523,12001316,spain
NCT04344002,12001319,spain
NCT04341584,12001321,france
NCT04336384,12001342,france
NCT04334044,12001345,mexico
NCT04333732,12001346,ghana
NCT04333732,12001347,south africa
NCT04333732,12001348,united kingdom
NCT04333732,12001349,united states
NCT04333732,12001350,zambia
NCT04333732,12001351,zimbabwe
NCT04333732,12001352,australia
NCT04333732,12001353,canada
NCT04333732,12001354,ireland
NCT04333732,12001355,netherlands
NCT04333732,12001356,uganda
NCT04703608,12130188,gambia
NCT04698798,12130202,belgium
NCT04692779,12130208,united states
NCT04673292,12130264,united states
NCT04655625,12130319,japan
NCT04649918,12130323,germany
NCT04648410,12130327,czechia
NCT04634409,12130363,puerto rico
NCT04634409,12130364,united states
NCT04609462,12130460,colombia
NCT04563247,12130661,pakistan
NCT04523610,12130839,canada
NCT04498546,12130872,turkey
NCT04477668,12130942,saudi arabia
NCT04476953,12130943,united states
NCT04476667,12130944,canada
NCT04473898,12130952,turkey
NCT04436276,12131046,belgium
NCT04436276,12131047,united states
NCT04431297,12131140,united states
NCT04428268,12131164,mexico
NCT04425538,12131185,united states
NCT04421027,12131192,argentina
NCT04421027,12131193,brazil
NCT04421027,12131194,germany
NCT04421027,12131195,india
NCT04421027,12131196,italy
NCT04421027,12131197,japan
NCT04421027,12131198,korea
NCT04421027,12131199,mexico
NCT04421027,12131200,puerto rico
NCT04421027,12131201,russian federation
NCT04421027,12131202,spain
NCT04421027,12131203,united kingdom
NCT04421027,12131204,united states
NCT04412291,12131220,sweden
NCT04393142,12131293,mexico
NCT04377789,12131328,turkey
NCT04373811,12131331,france
NCT04366830,12131340,united states
NCT04354584,12131354,denmark
NCT04331366,12131393,united states
NCT04700163,12009202,united states
NCT04686578,12009231,turkey
NCT04686565,12009232,turkey
NCT04682912,12009247,turkey
NCT04678700,12009258,spain
NCT04678687,12009259,turkey
NCT04677660,12009263,japan
NCT04653727,12009376,germany
NCT04649086,12009387,france
NCT04619719,12009516,united states
NCT04606498,12009580,united states
NCT04585945,12009631,united states
NCT04581200,12009651,united states
NCT04578158,12009655,pakistan
NCT04537949,12009874,germany
NCT04529499,12009906,kuwait
NCT04525417,12009926,france
NCT04511949,12009956,france
NCT04498416,12010001,france
NCT04446429,12010267,brazil
NCT04445272,12010269,spain
NCT04441502,12010273,italy
NCT04440007,12010280,united states
NCT04438863,12010283,israel
NCT04409821,12010398,denmark
NCT04406038,12010419,russian federation
NCT04402905,12010433,france
NCT04384731,12010491,france
NCT04380701,12010496,germany
NCT04374513,12010524,egypt
NCT04369469,12010537,france
NCT04369469,12010538,japan
NCT04369469,12010539,spain
NCT04369469,12010540,united kingdom
NCT04369469,12010541,united states
NCT04369066,12010542,france
NCT04358926,12010557,israel
NCT04357769,12010560,italy
NCT04353180,12010566,egypt
NCT04334434,12010585,turkey
NCT04325061,12010614,spain
NCT04315948,12010638,austria
NCT04315948,12010639,belgium
NCT04315948,12010640,france
NCT04315948,12010641,luxembourg
NCT04315948,12010642,portugal
NCT04723537,12137062,united states
NCT04716569,12137074,egypt
NCT04715932,12137076,canada
NCT04715854,12137077,belgium
NCT04701658,12137115,united states
NCT04689399,12137130,denmark
NCT04684615,12137135,united states
NCT04672291,12137151,canada
NCT04657809,12137167,egypt
NCT04642638,12137189,united states
NCT04625257,12137226,switzerland
NCT04623671,12137238,united states
NCT04609085,12137271,united states
NCT04606732,12137283,italy
NCT04600141,12137289,brazil
NCT04594395,12137332,cambodia
NCT04591717,12137334,united states
NCT04588363,12137341,united states
NCT04583969,12137345,united states
NCT04583956,12137346,united states
NCT04582903,12137356,united states
NCT04578132,12137364,spain
NCT04575597,12137372,brazil
NCT04575597,12137373,canada
NCT04575597,12137374,chile
NCT04575597,12137375,colombia
NCT04575597,12137376,france
NCT04575597,12137377,germany
NCT04575597,12137378,israel
NCT04575597,12137379,philippines
NCT04575597,12137380,russian federation
NCT04575597,12137381,south africa
NCT04575597,12137382,spain
NCT04575597,12137383,ukraine
NCT04575597,12137384,united kingdom
NCT04575597,12137385,united states
NCT04575584,12137386,brazil
NCT04575584,12137387,canada
NCT04575584,12137388,chile
NCT04575584,12137389,colombia
NCT04575584,12137390,france
NCT04575584,12137391,israel
NCT04575584,12137392,korea
NCT04575584,12137393,mexico
NCT04575584,12137394,philippines
NCT04575584,12137395,poland
NCT04575584,12137396,russian federation
NCT04575584,12137397,south africa
NCT04575584,12137398,spain
NCT04575584,12137399,ukraine
NCT04575584,12137400,united kingdom
NCT04575584,12137401,united states
NCT04575584,12137402,japan
NCT04573062,12137405,united states
NCT04565080,12137412,united states
NCT04565067,12137413,united states
NCT04564274,12137416,united states
NCT04539262,12137473,united states
NCT04533347,12137500,united states
NCT04514016,12137544,united states
NCT04510194,12137547,united states
NCT04510038,12137548,united states
NCT04501952,12137557,denmark
NCT04501952,12137558,spain
NCT04501952,12137559,united kingdom
NCT04501952,12137560,united states
NCT04495764,12137564,united states
NCT04495101,12137566,spain
NCT04483635,12137583,canada
NCT04478019,12137605,united states
NCT04464408,12137636,saudi arabia
NCT04456153,12137670,united states
NCT04452435,12137675,india
NCT04452435,12137676,united kingdom
NCT04419623,11485369,united states
NCT04419571,11485373,united kingdom
NCT04419545,11485380,italy
NCT04418947,11485438,united states
NCT04418609,11485474,switzerland
NCT04418557,11485477,united states
NCT04418544,11485478,united states
NCT04418531,11485479,italy
NCT04418518,11485480,united states
NCT04418505,11485481,canada
NCT04418505,11485482,united states
NCT04418375,11485489,france
NCT04418284,11485498,egypt
NCT04418245,11485501,france
NCT04418245,11485502,martinique
NCT04418206,11485505,france
NCT04417374,11485568,france
NCT04417335,11485571,netherlands
NCT04417270,11485576,united states
NCT04417153,11485585,singapore
NCT04416919,11485603,united states
NCT04416464,11485631,portugal
NCT04416438,11485633,france
NCT04416373,11485638,portugal
NCT04416360,11485639,france
NCT04416347,11485640,united kingdom
NCT04416334,11485641,spain
NCT04416308,11485643,france
NCT04416256,11485647,france
NCT04416139,11485655,mexico
NCT04416100,11485657,austria
NCT04416061,11485660,hong kong
NCT04416009,11485663,turkey
NCT04415879,11485672,united states
NCT04415359,11485701,france
NCT04415151,11485715,united states
NCT04415086,11485720,brazil
NCT04415073,11485721,united states
NCT04415060,11485722,canada
NCT04414904,11485734,united kingdom
NCT04414826,11485739,united states
NCT04414657,11485751,switzerland
NCT04414410,11485769,france
NCT04414371,11485773,united states
NCT04414319,11485776,france
NCT04414319,11485777,guadeloupe
NCT04414319,11485778,martinique
NCT04414267,11485782,greece
NCT04414241,11485784,peru
NCT04414124,11485793,united states
NCT04414059,11485797,france
NCT04413968,11485804,france
NCT04413955,11485805,united states
NCT04413864,11485810,france
NCT04413838,11485812,france
NCT04413747,11485819,italy
NCT04413435,11485851,turkey
NCT04413071,11485874,spain
NCT04413058,11485875,turkey
NCT04413045,11485876,egypt
NCT04413006,11485879,canada
NCT04412785,11485899,united states
NCT04412772,11485900,united states
NCT04412746,11485902,algeria
NCT04412655,11485913,italy
NCT04412551,11485919,sweden
NCT04412538,11485920,china
NCT04412486,11485924,united states
NCT04412473,11485925,france
NCT04412460,11485926,germany
NCT04412395,11485930,egypt
NCT04412382,11485931,italy
NCT04412369,11485932,united kingdom
NCT04412356,11485933,sweden
NCT04412343,11485934,canada
NCT04412330,11485935,united states
NCT04412317,11485936,france
NCT04412304,11485937,sweden
NCT04412278,11485939,turkey
NCT04412265,11485940,italy
NCT04412252,11485941,united states
NCT04412239,11485942,pakistan
NCT04412226,11485943,turkey
NCT04412057,11485951,united states
NCT04412031,11485952,france
NCT04412018,11485953,canada
NCT04411784,11485965,united kingdom
NCT04411680,11485971,united states
NCT04411667,11485972,united states
NCT04411628,11485981,united states
NCT04411602,11485982,united states
NCT04411576,11485984,sweden
NCT04411563,11485985,turkey
NCT04411511,11485989,netherlands
NCT04411459,11485993,italy
NCT04411446,11485994,argentina
NCT04410939,11486054,turkey
NCT04410835,11486062,austria
NCT04410718,11486070,denmark
NCT04410692,11486072,singapore
NCT04410562,11486080,spain
NCT04410549,11486081,brazil
NCT04410549,11486082,italy
NCT04410536,11486083,italy
NCT04410510,11486091,colombia
NCT04410484,11486093,united kingdom
NCT04410471,11486094,spain
NCT04410458,11486095,china
NCT04410432,11486101,france
NCT04410354,11486107,united states
NCT04410328,11486109,united states
NCT04410263,11486118,switzerland
NCT04410159,11486123,malaysia
NCT04410107,11486128,brazil
NCT04410016,11486135,united kingdom
NCT04409951,11486139,egypt
NCT04409925,11486141,canada
NCT04409899,11486142,spain
NCT04409873,11486143,united states
NCT04409834,11486146,united states
NCT04409743,11486151,united states
NCT04409535,11486163,united states
NCT04409522,11486164,iran
NCT04409509,11486165,united states
NCT04409496,11486166,hong kong
NCT04409275,11486181,spain
NCT04409249,11486187,turkey
NCT04409197,11486191,france
NCT04408456,11486254,india
NCT04408391,11486258,france
NCT04408378,11486259,turkey
NCT04408365,11486260,united kingdom
NCT04408339,11486262,germany
NCT04408326,11486263,united kingdom
NCT04408248,11486268,united kingdom
NCT04408235,11486269,italy
NCT04408222,11486270,united states
NCT04408209,11486271,greece
NCT04408196,11486272,italy
NCT04408183,11486273,united states
NCT04408170,11486274,united kingdom
NCT04408157,11486275,united kingdom
NCT04408131,11486277,france
NCT04408066,11486284,united kingdom
NCT04408001,11486287,france
NCT04407923,11486293,france
NCT04407689,11486307,france
NCT04407663,11486309,italy
NCT04407598,11486312,united kingdom
NCT04407585,11486313,united kingdom
NCT04407572,11486314,turkey
NCT04407559,11486315,france
NCT04407546,11486316,united states
NCT04407533,11486317,canada
NCT04407494,11486318,france
NCT04407468,11486320,mexico
NCT04407429,11486323,austria
NCT04407390,11486326,denmark
NCT04407299,11486331,egypt
NCT04407286,11486332,united states
NCT04407273,11486333,spain
NCT04407221,11486337,sweden
NCT04407208,11486338,indonesia
NCT04407195,11486339,united states
NCT04407182,11486340,ecuador
NCT04407169,11486341,france
NCT04407156,11486342,united kingdom
NCT04407117,11486345,denmark
NCT04407000,11486352,turkey
NCT04406844,11486364,india
NCT04406688,11486372,germany
NCT04406688,11486373,portugal
NCT04406688,11486374,spain
NCT04406688,11486375,united kingdom
NCT04406571,11486385,france
NCT04406558,11486386,france
NCT04406545,11486387,brazil
NCT04406493,11486390,israel
NCT04406389,11486398,united states
NCT04406324,11486403,france
NCT04406246,11486408,mexico
NCT04406233,11486409,brazil
NCT04406194,11486412,turkey
NCT04406181,11486413,belgium
NCT04406090,11486420,france
NCT04406064,11486422,united states
NCT04405999,11486426,russian federation
NCT04405986,11486427,france
NCT04405973,11486428,germany
NCT04405921,11486430,tunisia
NCT04405908,11486431,australia
NCT04405869,11486434,france
NCT04405843,11486436,colombia
NCT04405726,11486445,france
NCT04405544,11486458,russian federation
NCT04405466,11486462,germany
NCT04405310,11486476,mexico
NCT04405271,11486479,argentina
NCT04405232,11486482,united kingdom
NCT04405102,11486489,canada
NCT04404361,11486538,united states
NCT04404270,11486544,france
NCT04404244,11486546,egypt
NCT04404218,11486548,canada
NCT04404192,11486550,united states
NCT04404179,11486551,pakistan
NCT04404062,11486562,united kingdom
NCT04403906,11486571,united kingdom
NCT04403880,11486573,malawi
NCT04403880,11486574,mozambique
NCT04403880,11486575,peru
NCT04403880,11486576,south africa
NCT04403880,11486577,tanzania
NCT04403880,11486578,united states
NCT04403880,11486579,zambia
NCT04403880,11486580,zimbabwe
NCT04403828,11486583,egypt
NCT04403685,11486593,brazil
NCT04403672,11486594,bangladesh
NCT04403646,11486596,argentina
NCT04403607,11486599,united kingdom
NCT04403555,11486602,egypt
NCT04403477,11486607,bangladesh
NCT04403438,11486609,turkey
NCT04403386,11486613,united states
NCT04403269,11486621,france
NCT04403243,11486623,russian federation
NCT04403100,11486632,brazil
NCT04403061,11486635,spain
NCT04403035,11486636,united states
NCT04403009,11486638,china
NCT04402983,11486640,turkey
NCT04402957,11486642,canada
